"name","birth_place","birth_year","death_place","death_year","gender","citizenship","occupation_str","eflux_original_names","painterpalette_original_names","Nationality","movement","styles","styles_extended","StylesCount","StylesYears","Art500k_Movements","FirstYear","LastYear","wikiart_pictures_count","PaintingsExhibitedAt","PaintingsExhibitedAtCount","PaintingSchool","Influencedby","Influencedon","Pupils","Teachers","FriendsandCoworkers","locations","locations_with_years","artist_match_A"
"Isa Genzken","Schleswig-Holstein",1948,,,"female","Germany","photographer,painter,sculptor,filmmaker,visual artist,drawer,installation artist,video artist,collagist","ISA GENZKEN","Isa Genzken","German","Conceptual Art","Conceptual Art","{Conceptual Art:16}","{Conceptual Art:16}","Conceptual Art:1989-2012","{Conceptual Art:16}",1989,2012,16,,,,,,,,,"['Cologne', 'Berlin']","['Cologne:1973-1973']","Isa Genzken"
"James Lee Byars","Detroit",1932,"Cairo",1997,"male","United States of America","photographer,artist,sculptor,visual artist,performance artist,drawer,conceptual artist","James Lee Byars","James Lee Byars","American","Conceptual Art","Conceptual Art, Minimalism, Post-Minimalism","{Conceptual Art:5},{Minimalism:8},{Post-Minimalism:20}","{Post-Minimalism:20}, {Conceptual Art:7}, {Minimalism:9}","Post-Minimalism:1959-2004,Conceptual Art:1959-1994,Minimalism:1959-1991","{Conceptual Art,Post-Minimalism:33}",1959,2004,33,,,,,,,,,"[]","[]","James Lee Byars"
"Jan Dibbets","Weert",1941,,,"male","Kingdom of the Netherlands","photographer,painter,drawer,lithographer,video artist,conceptual artist,land artist","Jan Dibbets","Jan Dibbets","Dutch","Conceptual Art","Conceptual Art","{Conceptual Art:10}","{Conceptual Art:10}","Conceptual Art:1968-2007","{Conceptual Art:10}",1967,2007,10,,,,,,,,,"[]","[]","Jan Dibbets"
"John Baldessari","National City",1931,"Los Angeles",2020,"male","United States of America","photographer,architect,artist,illustrator,painter,sculptor,filmmaker,visual artist,printmaker,installation artist,video artist,conceptual artist","JOHN BALDESSARI","John Baldessari","American","Conceptual Art","Conceptual Art, Pop Art","{Conceptual Art:11},{Pop Art:7}","{Conceptual Art:18}, {Pop Art:7}","Conceptual Art:1967-2006,Pop Art:1994-2006","{Conceptual art:1},{Contemporary art:1},{Conceptual Art:18}",1967,2011,18,,,,,"David Hammons,",,,,"['California', 'Los Angeles']","['California:1949-2009']","John Baldessari"
"Joseph Beuys","Krefeld",1921,"Düsseldorf",1986,"male","Germany","photographer,illustrator,painter,sculptor,university teacher,choreographer,performance artist,printmaker,drawer,conceptual artist","Joseph Beuys","Joseph Beuys","German","Neo-Dada","Conceptual Art, Neo-Dada","{Conceptual Art:9},{Neo-Dada:16}","{Conceptual Art:9}, {Neo-Dada:13}","Conceptual Art:1957-1985,Neo-Dada:1951-1982","{Conceptual art:1},{Contemporary art:1},{Modern art:1},{Neo-Dada,Conceptual Art:22}",1951,1985,25,"London, US, Chicago, MN, Germany, IL, UK, Paris, NY, France, Minneapolis, Edinburgh, New York City, Cologne","{Edinburgh:1},{UK:9},{London:8},{New York City:1},{NY:1},{US:3},{Chicago:1},{IL:1},{Minneapolis:1},{MN:1},{Paris:1},{France:1},{Cologne:3},{Germany:4}","Fluxus","Yoko Ono,Sigmar Polke,Robert Smithson,Rosemarie Trockel,Environmental Art,Performance Art,Fluxus,","Yoko Ono,Sigmar Polke,Robert Smithson,Rosemarie Trockel,Environmental Art,Performance Art,Fluxus,","Blinky Palermo,Sigmar Polke,Odd Nerdrum,Wie man dem toten Hasen die Bilder erklärt',","Kunstakademie Düsseldorf, Düsseldorf, Germany,","Nam June Paik,Georg Baselitz,Gerhard Richter,","['Düsseldorf', 'United Kingdom', 'Italy', 'United States of America']","[]","Joseph Beuys"
"Joseph Kosuth","Toledo",1945,,,"male","United States of America","photographer,illustrator,painter,sculptor,university teacher,visual artist,art theorist,conceptual artist","JOSEPH KOSUTH","Joseph Kosuth","American","Conceptual Art","Conceptual Art","{Conceptual Art:23}","{Conceptual Art:23}","Conceptual Art:1965-2006","{Conceptual Art:23}",1965,2006,23,"NY, New York City, US","{New York City:1},{NY:1},{US:1}","Art & Language",,,,,,"['New York City', 'Cleveland', 'Stuttgart', 'Rome', 'Toledo', 'Tuntange']","[]","Joseph Kosuth"
"Juliao Sarmento","Lisbon",1948,"Lisbon",2021,"male","Portugal","painter,sculptor,visual artist,printmaker,plastic artist","Julião Sarmento","Juliao Sarmento","Portuguese","Conceptual Art","Conceptual Art","{Conceptual Art:11}","{Conceptual Art:11}","Conceptual Art:1976-2007","{Conceptual Art:11}",1976,2007,11,,,,,,,,,"[]","[]","Juliao Sarmento"
"Lawrence Weiner","New York City",1942,"Manhattan",2021,"male","United States of America","illustrator,painter,visual artist,installation artist,video artist,conceptual artist,video installation artist,author,artist","Lawrence Weiner","Lawrence Weiner","American","Conceptual Art","Conceptual Art","{Conceptual Art:23}","{Conceptual Art:23}","Conceptual Art:1969-2010","{Conceptual art:2},{Contemporary art:2},{Conceptual Art:23}",1969,2010,23,,,,,,,,,"['Kassel', 'Amsterdam', 'New York City', 'United States of America']","['Kassel:1972-1972', 'Amsterdam:1970-2015', 'New York City:1960-2015']","Lawrence Weiner"
"Leon Ferrari","Buenos Aires",1920,"Buenos Aires",2013,"male","Argentina","actor,artist,painter,sculptor,drawer,conceptual artist","Leon Ferrari","Leon Ferrari","Argentinean","Conceptual Art","Conceptual Art","{Conceptual Art:21}","{Conceptual Art:21}","Conceptual Art:1962-2004","{Conceptual Art:21}",1962,2004,21,,,,,,,,,"[]","[]","Leon Ferrari"
"Liam Gillick","Aylesbury",1964,,,"male","United Kingdom","painter,sculptor,installation artist,conceptual artist","Liam Gillick","Liam Gillick",,"Relational Art","Conceptual Art","{Conceptual Art:10}",,,"{Young British Artists:1},{Contemporary art:1}",2007,2009,10,,,,,,,,,"['New York City', 'London']","['New York City:1984-2009', 'London:1984-2009']","Liam Gillick"
"Lorna Simpson","Brooklyn",1960,,,"female","United States of America","photographer,filmmaker,visual artist,printmaker,drawer,installation artist,video artist","Lorna Simpson","Lorna Simpson",,"Feminist Art","Conceptual Art, Feminist Art, Postcolonial art","{Conceptual Art:6},{Feminist Art:1},{Postcolonial art:7}",,,,1991,1991,14,,,,,,,,,"['San Diego', 'Manhattan', 'Brooklyn']","['Brooklyn:1982-2012']","Lorna Simpson"
"Lothar Baumgarten","Rheinsberg",1944,"Berlin",2018,"male","United States of America","photographer,painter,sculptor,lighting designer,ethnographer,installation artist,conceptual artist,serigrapher","Lothar Baumgarten","Lothar Baumgarten","American,German","Conceptual Art","Conceptual Art, Unknown","{Conceptual Art:10},{Unknown:1}","{Conceptual Art:10}","Conceptual Art:1968-2005","{Conceptual Art:10}",1968,2005,11,,,,,,,,,"['Berlin']","[]","Lothar Baumgarten"
"Louise Bourgeois","6th arrondissement of Paris",1911,"Beth Israel Medical Center",2010,"female","United States of America","photographer,illustrator,painter,sculptor,jewelry designer,performance artist,printmaker,drawer,installation artist,writer,midwife,gynecologist,obstetrician","LOUISE BOURGEOIS","Louise Bourgeois",,"Confessional Art","Conceptual Art, Confessional Art, Feminist Art, Minimalism, Surrealism, Unknown","{Conceptual Art:40},{Confessional Art:112},{Feminist Art:7},{Minimalism:24},{Surrealism:20},{Unknown:1}",,,,1990,2001,204,,,,,,,,,"['New York City', 'Paris']","['New York City:1938-2010', 'Paris:1929-1939']","Louise Bourgeois"
"Luis Camnitzer","Lübeck",1937,,,"male","Uruguay","writer,painter,university teacher,art critic,printmaker,art theorist,conceptual artist","Luis Camnitzer","Luis Camnitzer","American,German,Uruguayan","Conceptual Art","Conceptual Art","{Conceptual Art:20}","{Conceptual Art:20}","Conceptual Art:1968-2010","{Conceptual art:1},{Contemporary art:1},{Conceptual Art:20}",1968,2010,20,,,,,,,,,"[]","[]","Luis Camnitzer"
"Lygia Clark","Belo Horizonte",1920,"Rio de Janeiro",1988,"female","Brazil","artist,painter,sculptor,university teacher,performance artist,installation artist","Lygia Clark","Lygia Clark","Brazilian","Neo-Concretism","Conceptual Art, Concretism, Neo-Concretism, Unknown","{Conceptual Art:3},{Concretism:3},{Neo-Concretism:14},{Unknown:1}","{Neo-Concretism:14}, {Conceptual Art:3}, {Concretism:3}","Neo-Concretism:1958-1984,Conceptual Art:1967-1968,Concretism:1952-1957","{Neo-Concretism,Conceptual Art:21}",1952,1984,21,,,"Frente",,,,,,"[]","[]","Lygia Clark"
"Lygia Pape","Nova Friburgo",1927,"Rio de Janeiro",2004,"female","Brazil","artist,painter,sculptor,filmmaker,graphic artist,drawer,installation artist","Lygia Pape","Lygia Pape","Brazilian","Neo-Concretism","Conceptual Art, Concretism, Neo-Concretism, Unknown","{Conceptual Art:34},{Concretism:9},{Neo-Concretism:29},{Unknown:1}","{Conceptual Art:34}, {Neo-Concretism:29}, {Light and Space:1}, {Concretism:9}","Conceptual Art:1967-2008,Neo-Concretism:1957-1999,Light and Space:1999-1999,Concretism:1955-1957","{Neo-Concretism,Conceptual Art:73}",1955,2008,73,,,"Frente",,,,,,"[]","[]","Lygia Pape"
"Marcel Broodthaers","Saint-Gilles - Sint-Gillis",1924,"Cologne",1976,"male","Belgium","photographer,poet,author,painter,sculptor,filmmaker,videographer,printmaker,installation artist,video artist,conceptual artist,illustrator","MARCEL BROODTHAERS","Marcel Broodthaers","Belgian","Conceptual Art","Conceptual Art","{Conceptual Art:32}","{Conceptual Art:17}","Conceptual Art:1965-1974","{Conceptual Art:17}",1964,1975,32,,,,,,,,,"['Berlin', 'London', 'Paris', 'City of Brussels']","['Berlin:1974-1974', 'London:1961-1961,1973-1976', 'Paris:1961-1961', 'City of Brussels:1946-1973']","Marcel Broodthaers"
"Marcel Duchamp","Blainville-Crevon",1887,"Neuilly-sur-Seine",1968,"male","United States of America","photographer,actor,poet,librarian,artist,painter,sculptor,film director,visual artist,philosopher,designer,chess player,printmaker,architectural draftsperson,assemblage artist","Marcel Duchamp","Marcel Duchamp","French","Dada","Conceptual Art, Cubism, Dada, Expressionism, Fauvism, Futurism, Kinetic Art, Op Art, Post-Impressionism, Surrealism, Symbolism, Unknown","{Conceptual Art:3},{Cubism:6},{Dada:17},{Expressionism:18},{Fauvism:6},{Futurism:3},{Kinetic Art:4},{Op Art:2},{Post-Impressionism:13},{Surrealism:8},{Symbolism:2},{Unknown:1}","{Expressionism:19}, {Surrealism:6}, {Conceptual Art:4}, {Dada:24}, {Op Art:2}, {Kinetic Art:4}, {Cubism:12}, {Futurism:4}, {Symbolism:2}, {Fauvism:7}, {Post-Impressionism:13}","Conceptual Art:1943-1966,Surrealism:1945-1966,Expressionism:1902-1958,Dada:1913-1947,Op Art:1923-1935,Kinetic Art:1913-1925,Cubism:1912-1914,Futurism:1912-1912,Post-Impressionism:1907-1911,Fauvism:1910-1910","{Dada,Surrealism:81}",1902,1966,83,"London, UK, US, Germany, Israel, Jerusalem, Italy, Paris, Stockholm, Philadelphia, Rouen, Sweden, Venice, New Haven, Stuttgart, France, NY, Düsseldorf, PA, New York City","{Philadelphia:23},{PA:23},{US:34},{Paris:5},{France:6},{Stockholm:1},{Sweden:1},{New Haven:1},{New York City:10},{NY:10},{London:2},{UK:2},{Stuttgart:2},{Germany:2},{Jerusalem:3},{Israel:3},{Düsseldorf:1},{Venice:1},{Italy:1},{Rouen:1}","Société des Artistes Indépendants (Society of Independent Artists),Section d'Or (Puteaux Group),Société Anonyme","Andy Warhol,Hiroshi Sugimoto,Damien Hirst,","Andy Warhol,Hiroshi Sugimoto,Damien Hirst,designs-and-sketches,monuments-and-statues,female-portraits,double-portraits,female-nude,male-portraits,reading-and-writing,",,"Académie Julian, Paris, France,","Florine Stettheimer,Constantin Brancusi,Man Ray,","['Paris', 'New York City']","['Paris:1904-1904']","Marcel Duchamp"
"Maria Lai","Ulassai",1919,"Cardedu",2013,"female","Italy","artist,textile artist","Maria Lai","Maria Lai","Italian","Contemporary","Conceptual Art, Post-Impressionism","{Conceptual Art:6},{Post-Impressionism:2}","{Conceptual Art:6}, {Post-Impressionism:2}","Conceptual Art:1970-2006,Post-Impressionism:1952-1960","{Contemporary:8}",1952,2006,8,,,,,,,,,"[]","[]","Maria Lai"
"Markus Raetz","Bern",1941,"Bern",2020,"male","Switzerland","photographer,illustrator,painter,sculptor,designer,printmaker,drawer","Markus Raetz","Markus Raetz","Swiss","Op Art","Conceptual Art, Op Art","{Conceptual Art:13},{Op Art:1}","{Conceptual Art:13}, {Op Art:1}","Conceptual Art:1979-2007,Op Art:1979-1979","{Op Art,Conceptual Art:14}",1979,2007,14,,,,,,,,,"['Amsterdam', 'Poland']","['Amsterdam:1979-1979,1969-1973', 'Poland:1965-1965']","Markus Raetz"
"Martin Creed","Wakefield",1968,,,"male","United Kingdom","painter,sculptor,visual artist,architectural draftsperson,drawer,installation artist,conceptual artist","Martin Creed","Martin Creed",,"Conceptual Art","Conceptual Art, Minimalism","{Conceptual Art:7},{Minimalism:12}",,,,,,19,"London, United Kingdom","{London:8},{United Kingdom:8}",,,,,,,"['London', 'New York City']","[]","Martin Creed"
"Martin Kippenberger","Dortmund",1953,"Vienna",1997,"male","Germany","photographer,artist,illustrator,painter,sculptor,university teacher,choreographer,visual artist,designer,installation artist,conceptual artist","Martin Kippenberger","Martin Kippenberger","German","Neo-Expressionism","Conceptual Art, Neo-Expressionism","{Conceptual Art:9},{Neo-Expressionism:13}","{Conceptual Art:10}, {Neo-Expressionism:13}","Conceptual Art:1989-1997,Neo-Expressionism:1981-1996","{Neo-Expressionism,Conceptual Art:22}",1981,1997,22,,,"Neue Wilde",,,,,,"['Essen']","[]","Martin Kippenberger"
"Matthew Barney","San Francisco",1967,,,"male","United States of America","screenwriter,photographer,television producer,illustrator,painter,sculptor,filmmaker,film director,film producer,visual artist,film editor,performance artist,film actor,architectural draftsperson,installation artist,video artist,video installation artist,boxer","Matthew Barney","Matthew Barney",,"Performance Art","Conceptual Art, Contemporary, Performance Art, Superflat, Unknown","{Conceptual Art:6},{Contemporary:1},{Performance Art:2},{Superflat:1},{Unknown:2}",,,,,,12,,,,,,,,,"['New Haven', 'New York City']","[]","Matthew Barney"
"Maurizio Cattelan","Padua",1960,,,"male","Italy","photographer,painter,performance artist,drawer,installation artist,conceptual artist","Maurizio CATTELAN","Maurizio Cattelan",,"Relational Art","Conceptual Art, Performance Art","{Conceptual Art:12},{Performance Art:1}",,,,2010,2010,13,,,,,,,,,"[""Criquetot-l'Esneval"", 'Milan', 'New York City']","[]","Maurizio Cattelan"
"Mel Bochner","Pittsburgh",1940,,,"male","United States of America","photographer,writer,engraver,artist,illustrator,painter,sculptor,architectural draftsperson,drawer,watercolorist,installation artist,conceptual artist","Mel Bochner","Mel Bochner","American","Conceptual Art","Conceptual Art, Minimalism","{Conceptual Art:18},{Minimalism:1}","{Conceptual Art:18}, {Minimalism:1}","Conceptual Art:1966-2012,Minimalism:1976-1976","{Conceptual Art:19}",1966,2012,19,"NY, New York City, US","{New York City:1},{NY:1},{US:1}",,,,,,,"['New York City']","[]","Mel Bochner"
"Michelangelo Pistoletto","Biella",1933,,,"male","Italy","artist,painter,sculptor,graphic artist,visual artist,printmaker,installation artist","Michelangelo Pistoletto","Michelangelo Pistoletto","Italian","Arte Povera","Conceptual Art","{Conceptual Art:16}","{Conceptual Art:16}","Conceptual Art:1962-2009","{Arte Povera:16}",1962,2011,16,,,,,,,,,"[]","[]","Michelangelo Pistoletto"
"Mihai Olos","Ariniș",1940,"Endingen am Kaiserstuhl",2015,"male","Romania","painter,sculptor,drawer","Mihai Olos","Mihai Olos","Romanian","Conceptual Art","Conceptual Art, Op Art, Unknown","{Conceptual Art:21},{Op Art:4},{Unknown:1}",,,"{Abstract Art,Conceptual Art:16}",,,26,,,,,,,,,"[]","[]","Mihai Olos"
"Mira Schendel","Zurich",1919,"São Paulo",1988,"female","Switzerland","writer,poet,artist,illustrator,painter,sculptor","Mira Schendel","Mira Schendel","Swiss,Brazilian","Abstract Art","Conceptual Art, Lettrism, Minimalism, Neo-Concretism","{Conceptual Art:3},{Lettrism:4},{Minimalism:5},{Neo-Concretism:10}","{Minimalism:5}, {Lettrism:5}, {Neo-Concretism:8}, {Conceptual Art:3}","Minimalism:1963-1987,Lettrism:1965-1981,Neo-Concretism:1960-1978,Conceptual Art:1964-1971","{Neo-Concretism:21}",1919,1988,22,"London, US, UK, NY, New York City","{New York City:3},{NY:3},{US:3},{London:1},{UK:1}",,,,,,,"[]","[]","Mira Schendel"
"Mircea Cantor","Oradea",1977,,,"male","Romania","animator,painter,sculptor,visual artist,drawer,installation artist,video artist,conceptual artist","Mircea Cantor","Mircea Cantor",,"Neo-Dada","Conceptual Art","{Conceptual Art:14}",,,"{Contemporary art:2}",2007,2014,14,,,,,,,,,"[]","[]","Mircea Cantor"
"Mona Hatoum","Beirut",1952,,,"female","United Kingdom","television producer,sculptor,jewelry designer,film director,visual artist,performance artist,installation artist,video artist","Mona Hatoum","Mona Hatoum",,"Conceptual Art","Conceptual Art, Performance Art, Post-Minimalism, Postcolonial art","{Conceptual Art:4},{Performance Art:1},{Post-Minimalism:5},{Postcolonial art:3}",,,,1980,2013,13,"Lebanon","{Lebanon:4}",,,,,,,"[]","[]","Mona Hatoum"
"Olivier Mosset","Bern",1944,,,"male","Switzerland","photographer,painter,printmaker","Olivier Mosset","Olivier Mosset","Swiss","Conceptual Art","Conceptual Art, Minimalism","{Conceptual Art:2},{Minimalism:15}","{Minimalism:15}, {Conceptual Art:3}, {Hard Edge Painting:5}","Minimalism:1970-2010,Conceptual Art:1966-2005,Hard Edge Painting:1975-1993","{Conceptual Art,Minimalism:17}",1966,2010,17,,,"BMPT,Radical Painting Group",,,,,,"[]","[]","Olivier Mosset"
"On Kawara","Kariya",1933,"New York City",2014,"male","Japan","painter,visual artist,printmaker,drawer,conceptual artist","On Kawara","On Kawara","American,Japanese","Mail Art","Conceptual Art, Mail Art","{Conceptual Art:13},{Mail Art:3}","{Conceptual Art:16}, {Mail Art:3}","Conceptual Art:1965-2006,Mail Art:1973-1978","{Conceptual art:1},{Contemporary art:1},{Mail Art,Conceptual Art:16}",1965,2006,16,,,,,,,,,"['New York City']","[]","On Kawara"
"Paul Thek","Brooklyn",1933,"United States of America",1988,"male","United States of America","photographer,painter,sculptor,visual artist,new media artist,drawer","Paul Thek","Paul Thek","American","Pop Art","Conceptual Art, Pop Art","{Conceptual Art:8},{Pop Art:10}","{Pop Art:10}, {Conceptual Art:8}","Pop Art:1976-1988,Conceptual Art:1964-1975","{Modern art:1},{Pop Art,Conceptual Art:18}",1964,1988,18,,,,,,,,,"[]","[]","Paul Thek"
"Pierre Huyghe","Paris",1962,,,"male","France","artist,visual artist,video artist","Pierre Huyghe","Pierre Huyghe",,"Relational Art","Conceptual Art","{Conceptual Art:10}",,,,2014,2014,10,,,,,,,,,"['New York City', 'Paris']","[]","Pierre Huyghe"
"Rebecca Horn","Michelstadt",1944,"Bad König",2024,"female","Germany","screenwriter,teacher,artist,sculptor,choreographer,film director,visual artist,performance artist,installation artist,video artist","Rebecca Horn","Rebecca Horn","German","Performance Art","Conceptual Art, Feminist Art, Post-Minimalism","{Conceptual Art:3},{Feminist Art:10},{Post-Minimalism:1}","{Conceptual Art:10}, {Feminist Art:10}, {Post-Minimalism:1}","Conceptual Art:1971-2004,Feminist Art:1968-2004,Post-Minimalism:2002-2002","{Performance Art,Feminist Art:14}",1968,2004,14,,,,,,,,,"['Bad König']","[]","Rebecca Horn"
"Richard Prince","Panama Canal Zone",1949,,,"male","United States of America","photographer,illustrator,painter,sculptor,collagist,assemblage artist,journalist,politician,researcher,producer,composer,film actor,film screenwriter","Richard Prince","Richard Prince","American","Conceptual Art","Conceptual Art","{Conceptual Art:10}","{Conceptual Art:10}","Conceptual Art:1973-2013","{Contemporary art:2},{Conceptual Art:10}",1973,2013,10,"Basel, Switzerland","{Basel:1},{Switzerland:1}","Pictures Generation",,,,,,"['Amsterdam', 'New York City']","['Amsterdam:1996-1996']","Richard Prince"
